id,name
node1fltidtvrx11222883,Quetta International Airport
node1fltidtvrx16132962,Manas International Airport
node1fltidtvrx16132965,Murcia-San Javier Airport
node1fltidtvrx16142207,Jiri Airport
node1fltidtvrx16142228,Carlos Miguel Gimenez Airport
node1fltidtvrx19137136,Cagliari-Elmas Airport
node1fltidtvrx21409833,Daru Airport
node1fltidtvrx21424061,Norseman Airport
node1fltidtvrx21549626,Debre Marcos Airport
node1fltidtvrx21580023,Big Piney-Marbleton Airport
node1fltidtvrx21607051,Bhisiana Air Force Base
node1fltidtvrx21745427,Baytown Airport
node1fltidtvrx24370208,Lisbon Portela Airport
node1fltidtvrx40610042,A Coruña Airport (LCG)
node1fltidtvrx42784234,Casco Cove Coast Guard Station
node1fltidtvrx47401129,Suarlee
node1fltidtvrx48021522,Wallblake Airport
node1fltidtvrx58328341,Bugulma Airport
node1fltidtvrx59114045,Portsmouth International Airport at Pease
node1fltidtvrx60922786,St-Hubert
node1fltidtvrx63351765,Hanover/Langenhagen International Airport
node1fltlnkd7x103225674,Williams Lake Airport
node1fltlnkd7x106040801,Bubung Airport
node1fltlnkd7x110872632,Campbell River Airport
node1fltlnkd7x111197744,Trail Airport
node1fltlnkd7x116142904,Plovdiv International Airport
node1fltlnkd7x19371458,Gran Canaria Las Palmas Airport
node1fltlnkd7x32516366,Avalon Airport
node1fltlnkd7x36923058,Sir Seretse Khama Intl
node1fltlnkd7x43269063,Palo Alto Airport
node1fltlnkd7x43269067,El Caraño Airport
node1fltlnkd7x48219997,Panola County Airport
node1fltlnkd7x48457721,Robinson Municipal Airport
node1fltlnkd7x5938974,Lubango Airport
node1fltlnkd7x5939005,Pouso Alegre Airport
node1fltlnkd7x61292251,Szczecin Goleniow Airport (SZZ)
node1fltlnoh1x100106146,Nain Airport
node1fltlnoh1x107720272,Stuttgart Municipal Airport
node1fltlnoh1x107954387,Dinwiddie County Airport
node1fltlnoh1x108082461,Sachs Harbour Airport
node1fltlnoh1x112933118,Fortescue - Dave Forrest Aerodrome
node1fltlnoh1x11336138,Arturo dell'Oro
node1fltlnoh1x11336149,Hood Army Airfield
node1fltlnoh1x31317364,Norman Manley
node1fltlnoh1x32146074,Araçatuba Airport
node1fltlnoh1x42830579,El Matorral Airport
node1fltlnoh1x47839837,Takaka Airport
node1fltlnoh1x48110575,Hutchinson Municipal Airport
node1fltlnoh1x50187298,Seletar
node1fltlnoh1x52818835,Luxembourg
node1fltlnoh1x81276035,Bedford County
node1fltlnoh1x89974351,Manley Hot Springs Airport
node1fltlnoh1x97273511,Oyem Airport
node1fltlnoh1x97273515,Tripoli International Airport
node1fltlnoh1x97713721,Tocumen International Airport
node1fltlnoh1x99541868,Chan Gurney Municipal Airport
node1fltlnqgex100403413,Purwokerto Airport
node1fltlnqgex107744318,Gatwick Airport
node1fltlnqgex110552446,Wagga Wagga Airport
node1fltlnqgex110701131,Hesler-Noble Field
node1fltlnqgex11295504,Boise Air Terminal (Gowen Field)
node1fltlnqgex11295513,Sheremetyevo International Airport
node1fltlnqgex25020221,Paris Orly Airport (ORY)
node1fltlnqgex32351028,Aripuanã Airport
node1fltlnqgex32351031,Athen Helenikon Airport
node1fltlnqgex42609152,Utsunomiya Air Field
node1fltlnqgex47861680,Holyoke Airport
node1fltlnqgex49054604,Hammerfest Airport
node1fltlnqgex53522406,Darwin International Airport
node1fltlnqgex57072691,Cluj-Napoca Airport (CLJ)
node1fltlnqgex67459831,Muenchen International Airport Franz-Josef Strauss
node1fltlnqgex83827725,Dickinson
node1fltlnqgex89729523,Savannah/Hilton Head International Airport
node1fltlnqgex9001318,Berlin Schoenefeld Airport
node1fltlnrmex100517614,Taoyuan International Airport
node1fltlnrmex107960340,Kempegowda International Airport
node1fltlnrmex11347517,Ontonagon County Airport
node1fltlnrmex125472991,Beijing Daxing International Airport
node1fltlnrmex29565530,Goroka
node1fltlnrmex32633930,Keluang Airport
node1fltlnrmex37936831,Brussels
node1fltlnrmex47681996,Kaikoura Airport
node1fltlnrmex48025861,Holloman Air Force Base
node1fltlnrmex48111224,Yoron Airport
node1fltlnrmex5882174,Quillayute Airport
node1fltlnrmex5985039,Mora Municipal Airport
node1fltlnrmex8909418,Faro International Airport
node1fltlnrmex97741526,Stony Rapids Airport
node1fltlnsi4x11165484,Bunia Airport
node1fltlnsi4x112098280,Okaukuejo Airport
node1fltlnsi4x11303916,Bordeaux - Mérignac Airport
node1fltlnsi4x11303923,"Svolvær Airport, Helle"
node1fltlnsi4x117770788,Luxembourg - Findel
node1fltlnsi4x118495762, Fort Lauderdale-Hollywood International Airport (FLL) 
node1fltlnsi4x118495762, Fort Lauderdale-Hollywood International Airport (FLL) 
node1fltlnsi4x118495762, Miami International Airport (MIA) 
node1fltlnsi4x118495762, Miami International Airport (MIA) 
node1fltlnsi4x120890179,Kaya Airport
node1fltlnsi4x31756726,Aripuanã Airport
node1fltlnsi4x32191565,Tongliao Airport
node1fltlnsi4x32262321,Tian Yang Air Base
node1fltlnsi4x43043863,Flamingo Airport
node1fltlnsi4x43352145,Victoria Regional Airport
node1fltlnsi4x47535953,Oktyabrskiy Airport
node1fltlnsi4x48269787,Hamburg Airport
node1fltlnsi4x55583158,Reus Airport (REU)
node1fltlnsi4x57270306,New Braunfels Regl
node1fltlnsi4x5863726,M. Graham Clark - Taney County Airport
node1fltlnsi4x5933410,Jinzhou Airport
node1fltlnsi4x83283618,Skopje Airport (SKP)
node1fltlnsi4x92428318,Martin State Airport
node1fltlnsi4x93917566,Yorke Island Airport
node1fltlnsi4x94812881,Tamana Island Airport
node1fltlnsi4x97974193,Hartsfield-Jackson Atlanta International Airport
node1fltlnsqsx104655478,Pokhara Airport
node1fltlnsqsx105801488,Yenbo Airport
node1fltlnsqsx112063644,Mélio Viana Airport
node1fltlnsqsx112858852,El Avellano Airport
node1fltlnsqsx123924960,Jauja
node1fltlnsqsx16195180,Thandwe Airport
node1fltlnsqsx37325492,"Sandefjord Airport, Torp"
node1fltlnsqsx38563054,Faro
node1fltlnsqsx38563057,Moscow Sheremetyevo Alexander S. Pushkin Intl
node1fltlnsqsx47600337,Uberaba Municipal Airport
node1fltlnsqsx47979352,Doomadgee Airport
node1fltlnsqsx57828431,Dodge County
node1fltlnsqsx5944703,Nantong Airport
node1fltlnsqsx83718451,London - Southend Municipal
node1fltlnsqsx89038834,Multan International Airport
node1fltlnsqsx89038900,Pearson Field
node1fltlnu92x101810163,Useless Loop Airport
node1fltlnu92x105384461,María Dolores Airport
node1fltlnu92x106945326,Fort Chipewyan Airport
node1fltlnu92x113331673,Republic
node1fltlnu92x119195553,Rupsi Airport
node1fltlnu92x124052536,Austin Straubel
node1fltlnu92x16422406,Abraham Lincoln Capital Airport
node1fltlnu92x19158739,Amsterdam Schiphol Airport
node1fltlnu92x30998779,Friday Harbor
node1fltlnu92x30998889,Karamay
node1fltlnu92x31898908,Tian Yang Air Base
node1fltlnu92x47828634,Oscoda-Wurtsmith Airport
node1fltlnu92x47880913,Conway-Horry County Airport
node1fltlnu92x48250070,Vnukovo International Airport
node1fltlnu92x48255174,Praia International Airport
node1fltlnu92x55751209,Reykjavik Airport (RKV)
node1fltlnu92x61427763,Badajoz Airport (BJZ)
node1fltlnu92x78211468,Fort-de-France - Lamentin Aimé Césaire
node1fltlnujix101852145,Palmerston North International Airport
node1fltlnujix102012335,Hearne Municipal Airport
node1fltlnujix107240314,Lashio Airport
node1fltlnujix110864534,Loyengalani Airport
node1fltlnujix117635855,Reading Regional Airport (Carl A. Spaatz Field)
node1fltlnujix16263500,Goya Airport
node1fltlnujix31395414,Isle of Man
node1fltlnujix32035215,Waterkloof Air Force Base Airport
node1fltlnujix37104194,Visalia Mun
node1fltlnujix38791710,John F. Kennedy Intl
node1fltlnujix47936214,Godman Army Airfield
node1fltlnujix47936218,Valencia Airport
node1fltlnujix47978946,Dhahran International Airport
node1fltlnujix5836597,Ulysses Airport
node1fltlnujix5992535,Jorge Chavez International Airport
node1fltlnujix5992554,San Diego International Airport
node1fltlnujix87631320,Liverpool Airport (LPL)
node1fltlnujix91593004,Tasikmalaya Airport
node1fltlnujix94666710,Manistee County-Blacker Airport
node1fltlnujix96792869,NAS JRB New Orleans (Alvin Callender Field)
node1fltlnujix96792880,Quonset State Airport
node1fltlnujix99230775,Toamasina Airport
node1fltlnusqx103759385,Bahias de Huatulco International Airport (HUX)
node1fltlnusqx110391564,Dandong Airport
node1fltlnusqx110391568,Greenwood Airport
node1fltlnusqx11194931,Olbia-Costa Smerelda Airport
node1fltlnusqx112740828,Mâcon-Charnay Airport
node1fltlnusqx116172378,Port Gentil Airport
node1fltlnusqx32329262,Alexandra Airport
node1fltlnusqx32340817,Arar Domestic Airport
node1fltlnusqx42787830,Nha Trang Air Base
node1fltlnusqx43860241,Avaratra Airport
node1fltlnusqx53229921,Lynden Pindling Intl
node1fltlnusqx57458657,Galesburg Mun
node1fltlnusqx95336762,Rolla National Airport
node1fltlnusqx97273620,Rogers Municipal Airport (Carter Field)
node1fltlo0e2x10988496,Belaga Airport
node1fltlo0e2x24029792,Nantes Atlantique Airport
node1fltlo0e2x31941796,Alpha Airport
node1fltlo0e2x32916899,Philadelphia Intl
node1fltlo0e2x5800921,Salina Municipal Airport
node1fltlo0fdx105876149,Lumberton Municipal Airport
node1fltlo0fdx110827740,Millicent Airport
node1fltlo0fdx111774571,Malargue International Airport
node1fltlo0fdx117750215,Dracena Airport
node1fltlo0fdx119667037,Lanzarote Airport
node1fltlo0fdx119979196,Port Elizabeth Airport
node1fltlo0fdx32339334,Takhli Airport
node1fltlo0fdx32618202,Siglufjordur Airport
node1fltlo0fdx36854444,Alicante-Elche
node1fltlo0fdx47578785,Borg El Arab Airport
node1fltlo0fdx47891965,Buchanan Airport
node1fltlo0fdx48291044,Limeira Airport
node1fltlo0fdx48349719,Fitzgerald Municipal Airport
node1fltlo0fdx52675690,Guernsey
node1fltlo0fdx53473197,Hiroshima Airport
node1fltlo0fdx53675385,Kerama Airport
node1fltlo0fdx70702566,Paris - Le Bourget Airport
node1fltlo0fdx84815299,Casablanca Airport Mohammed V (CMN)
node1fltlo0fdx95296590,Lilongwe International Airport
node1fltlo0fdx95296598,Tartagal Airport
node1fltlo0fdx97486153,Ulan-Ude Airport (Mukhino)
node1fltlo0fdx97524363,Langtang Airport
node1fltlo0igx100235984,?ód? W?adys?aw Reymont Airport
node1fltlo0igx100526365,Yangambi Airport
node1fltlo0igx104263107,Erfurt
node1fltlo0igx112139402,Kursk East Airport
node1fltlo0igx11235262,Boende Airport
node1fltlo0igx11272887,Brunswick Golden Isles Airport
node1fltlo0igx123081282,Kolhapur Airport
node1fltlo0igx14180977,Amsterdam Schiphol Airport
node1fltlo0igx32158975,Lalmonirhat Airport
node1fltlo0igx32626684,Gabriel Vargas Santos Airport
node1fltlo0igx42810096,Cangapara Airport
node1fltlo0igx47890463,Davis Monthan AFB
node1fltlo0igx48072471,Pointe Noire Airport
node1fltlo0igx48072476,Ouvéa Airport
node1fltlo0igx5859626,Salem-Leckrone Airport
node1fltlo0igx5961996,Jackson County Airport (Reynolds Field)
node1fltlo0igx63317667,Perris Valley
node1fltlo0igx83202074,General Santos
node1fltlo0igx83606190,Naples Mun
node1fltlo0igx83873576,Archerfield
node1fltlo0igx85375266,Oxnard Airport
node1fltlo0igx91974136,Watonga Regional Airport
node1fltlo0igx94481091,Ohio State University Airport
node1fltlo0igx95086125,Franklin County Airport
node1fltlo0l5x100092985,Kenora Airport
node1fltlo0l5x108388919,Presidente Juscelino Kubitschek International Airport
node1fltlo0l5x108388932,Worland Municipal Airport
node1fltlo0l5x110268405,Levuka Airfield
node1fltlo0l5x111544568,Kaunas International Airport
node1fltlo0l5x113413254,Lake Placid Airport
node1fltlo0l5x11415814,Mercer County Airport
node1fltlo0l5x121720547,Jonesville Mine Airport
node1fltlo0l5x124091468,Sheremetyevo International Airport
node1fltlo0l5x124091477,Brisbane Archerfield Airport
node1fltlo0l5x26384007,Kirksville Municipal
node1fltlo0l5x44109181,Jersey Airport
node1fltlo0l5x49143570,Strachowice
node1fltlo0l5x5811561,Sirri Island Airport
node1fltlo0l5x5839140,Pevek Airport
node1fltlo0l5x5941865,Sullivan Regional Airport
node1fltlo0l5x5952348,Skrydstrup Airport
node1fltlo0l5x5952353,Mabaruma Airport
node1fltlo0l5x82256719,Adelaide Airport (ADL)
node1fltlo0l5x83772870,Lehigh Valley Intl
node1fltlo0l5x91583092,Tokyo International Airport
node1fltlo0l5x93308837,Blue Grass Airport
node1fltlo0l5x95157284,Jiuzhai Huanglong Airport
node1fltlo0o4x16107413,Bukhara Airport
node1fltlo0o4x16210517,Bemidji Regional Airport
node1fltlo0o4x16563715,Warren Field
node1fltlo0o4x16563751,Shaw AFB
node1fltlo0o4x32384579,Faisalabad International Airport
node1fltlo0o4x36689674,Salgado Filho Intl
node1fltlo0o4x43601774,Summit Airport (Alaska)
node1fltlo0o4x5862614,Fernheim Airport
node1fltlo0o4x6087115,Flora Valley Airport
node1fltlo0o4x9000403,Auckland Airport
node1fltlo2kox102125148,Kugaaruk Airport
node1fltlo2kox102728657,"La Pedrera Airport La Pedrera, Colombia"
node1fltlo2kox104481108,Lock Airport
node1fltlo2kox108111968,Lajes Airport
node1fltlo2kox115855888,Harry P. Williams Memorial Airport
node1fltlo2kox128194673,Harbin Taiping
node1fltlo2kox16622728,Manda Airstrip
node1fltlo2kox16737616,Birni Nkoni Airport
node1fltlo2kox36792912,Doshan Tappeh
node1fltlo2kox38905597,Kastrup
node1fltlo2kox47716386,Patos de Minas Airport
node1fltlo2kox48305491,Half Moon Bay Airport
node1fltlo2kox48375498,Koszalin Zegrze Airport
node1fltlo2kox48451669,Rock Hill/York County Airport (Bryant Field)
node1fltlo2kox97539362,Masvingo International Airport
node1fltlo2kox97633289,Grosse Ile Municipal Airport
node1fltlo2stx100809103,Vannes-Meucon Airport
node1fltlo2stx102113952,Likoma Island Airport
node1fltlo2stx102113956,Wawa Airport
node1fltlo2stx104441408,Fort Good Hope Airport
node1fltlo2stx112960177,Peretola Airport
node1fltlo2stx113079381,Davison Army Airfield
node1fltlo2stx116563658,Theodore Roosevelt Regional Airport
node1fltlo2stx118060342,Lancaster County Airport (McWhirter Field)
node1fltlo2stx120748774,Pocatello Regional Airport
node1fltlo2stx31927604,Ajaccio Napoleon Bonaparte Airport
node1fltlo2stx32503798,Ashburton Airport
node1fltlo2stx38168522,Alpha Airport
node1fltlo2stx46201431,Hamburg Airport
node1fltlo2stx48636452,Dembidolo Airport
node1fltlo2stx55615593,La Désirade Airport
node1fltlo2stx5814674,Fernando de Noronha Airport
node1fltlo2stx5814680,St. Paul Downtown Airport (Holman Field)
node1fltlo2stx5906041,Salekhard Airport
node1fltlo2stx5958508,Jingdezhen Airport
node1fltlo2stx5958512,Ölgii Airport
node1fltlo2stx6054449,Derby Field
node1fltlo2stx71572858,Toulouse Blagnac Airport
node1fltlo2stx9030877,Edinburgh Airport
node1fltlo2stx96967317,Montevideo-Chippewa County Airport
node1fltlo2stx98540626,Al Dhafra Air Base
node1fltlo375x11293780,Detroit Lakes Airport (Wething Field)
node1fltlo375x24806813,Nice Cote d'Azur Airport
node1fltlo375x32250575,Tian Yang Air Base
node1fltlo375x43023128,Rutherford County Airport (Marchman Field)
node1fltlo375x43023135,Nalchik Airport
node1fltlo375x5774670,Quince Air Base
node1fltlo375x5979750,Franca Airport
